,Название фильма,Ссылка,Рейтинг,Количество человек,Директор,В главных ролях,Год,Страна,Тип
0,肖申克的救赎 / The Shawshank Redemption / 月黑高飞(港)  /  刺激1995(台),https://movie.douban.com/subject/1292052/,9.7,2716681,导演: 弗兰克·德拉邦特 Frank Darabont,主演: 蒂姆·罗宾斯 Tim Robbins /...,1994,美国,犯罪 剧情
1,霸王别姬 / 再见，我的妾  /  Farewell My Concubine,https://movie.douban.com/subject/1291546/,9.6,2013524,导演: 陈凯歌 Kaige Chen,主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...,1993,中国大陆 中国香港,剧情 爱情 同性
2,阿甘正传 / Forrest Gump / 福雷斯特·冈普,https://movie.douban.com/subject/1292720/,9.5,2038551,导演: 罗伯特·泽米吉斯 Robert Zemeckis,主演: 汤姆·汉克斯 Tom Hanks / ...,1994,美国,剧情 爱情
3,泰坦尼克号 / Titanic / 铁达尼号(港 / 台),https://movie.douban.com/subject/1292722/,9.4,1997881,导演: 詹姆斯·卡梅隆 James Cameron,主演: 莱昂纳多·迪卡普里奥 Leonardo...,1997,美国 墨西哥 澳大利亚 加拿大,剧情 爱情 灾难
4,这个杀手不太冷 / Léon / 终极追杀令(台)  /  杀手莱昂,https://movie.douban.com/subject/1295644/,9.4,2180357,导演: 吕克·贝松 Luc Besson,主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...,1994,法国 美国,剧情 动作 犯罪
5,美丽人生 / La vita è bella / 一个快乐的传说(港)  /  Life Is Beautiful,https://movie.douban.com/subject/1292063/,9.6,1251492,导演: 罗伯托·贝尼尼 Roberto Benigni,主演: 罗伯托·贝尼尼 Roberto Beni...,1997,意大利,剧情 喜剧 爱情 战争
6,千与千寻 / 千と千尋の神隠し / 神隐少女(台)  /  千与千寻的神隐,https://movie.douban.com/subject/1291561/,9.4,2114371,导演: 宫崎骏 Hayao Miyazaki,主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...,2001,日本,剧情 动画 奇幻
7,辛德勒的名单 / Schindler's List / 舒特拉的名单(港)  /  辛德勒名单,https://movie.douban.com/subject/1295124/,9.6,1044277,导演: 史蒂文·斯皮尔伯格 Steven Spielberg,主演: 连姆·尼森 Liam Neeson...,1993,美国,剧情 历史 战争
8,盗梦空间 / Inception / 潜行凶间(港)  /  全面启动(台),https://movie.douban.com/subject/3541415/,9.4,1949813,导演: 克里斯托弗·诺兰 Christopher Nolan,主演: 莱昂纳多·迪卡普里奥 Le...,2010,美国 英国,剧情 科幻 悬疑 冒险
9,星际穿越 / Interstellar / 星际启示录(港)  /  星际效应(台),https://movie.douban.com/subject/1889243/,9.4,1667307,导演: 克里斯托弗·诺兰 Christopher Nolan,主演: 马修·麦康纳 Matthew Mc...,2014,美国 英国 加拿大,剧情 科幻 冒险
10,忠犬八公的故事 / Hachi: A Dog's Tale / 秋田犬八千(港)  /  忠犬小八(台),https://movie.douban.com/subject/3011091/,9.4,1329484,导演: 莱塞·霍尔斯道姆 Lasse Hallström,主演: 理查·基尔 Richard Ger...,2009,美国 英国,剧情
11,楚门的世界 / The Truman Show / 真人Show(港)  /  真人戏,https://movie.douban.com/subject/1292064/,9.3,1575037,导演: 彼得·威尔 Peter Weir,主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...,1998,美国,剧情 科幻
12,海上钢琴师 / La leggenda del pianista sull'oceano / 声光伴我飞(港)  /  一九零零的传奇,https://movie.douban.com/subject/1292001/,9.3,1588345,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore,主演: 蒂姆·罗斯 Tim Roth / ...,1998,意大利,剧情 音乐
13,三傻大闹宝莱坞 / 3 Idiots / 三个傻瓜(台)  /  作死不离3兄弟(港),https://movie.douban.com/subject/3793023/,9.2,1764895,导演: 拉库马·希拉尼 Rajkumar Hirani,主演: 阿米尔·汗 Aamir Khan / 卡...,2009,印度,剧情 喜剧 爱情 歌舞
14,机器人总动员 / WALL·E / 太空奇兵·威E(港)  /  瓦力(台),https://movie.douban.com/subject/2131459/,9.3,1247744,导演: 安德鲁·斯坦顿 Andrew Stanton,主演: 本·贝尔特 Ben Burtt / 艾丽...,2008,美国,科幻 动画 冒险
15,放牛班的春天 / Les choristes / 歌声伴我心(港)  /  唱诗班男孩,https://movie.douban.com/subject/1291549/,9.3,1230613,导演: 克里斯托夫·巴拉蒂 Christophe Barratier,主演: 让-巴蒂斯特·莫尼...,2004,法国 瑞士 德国,剧情 喜剧 音乐
16,无间道 / 無間道 / Infernal Affairs  /  Mou gaan dou,https://movie.douban.com/subject/1307914/,9.3,1268044,导演: 刘伟强 / 麦兆辉,主演: 刘德华 / 梁朝伟 / 黄秋生,2002,中国香港,剧情 犯罪 惊悚
17,疯狂动物城 / Zootopia / 优兽大都会(港)  /  动物方城市(台),https://movie.douban.com/subject/25662329/,9.2,1796950,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore,主演: 金妮弗·...,2016,美国,喜剧 动画 冒险
18,大话西游之大圣娶亲 / 西遊記大結局之仙履奇緣 / 西游记完结篇仙履奇缘  /  齐天大圣西游记,https://movie.douban.com/subject/1292213/,9.2,1449148,导演: 刘镇伟 Jeffrey Lau,主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,1995,中国香港 中国大陆,喜剧 爱情 奇幻 古装
19,控方证人 / Witness for the Prosecution / 雄才伟略  /  情妇,https://movie.douban.com/subject/1296141/,9.6,496904,导演: 比利·怀尔德 Billy Wilder,主演: 泰隆·鲍华 Tyrone Power / 玛琳·...,1957,美国,剧情 犯罪 悬疑
20,熔炉 / 도가니 / 无声呐喊(港)  /  漩涡,https://movie.douban.com/subject/5912992/,9.4,882161,导演: 黄东赫 Dong-hyuk Hwang,主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,2011,韩国,剧情
21,教父 / The Godfather / Mario Puzo's The Godfather,https://movie.douban.com/subject/1291841/,9.3,904626,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola,主演: 马龙·白兰度 M...,1972,美国,剧情 犯罪
22,当幸福来敲门 / The Pursuit of Happyness / 寻找快乐的故事(港)  /  追求快乐,https://movie.douban.com/subject/1849031/,9.2,1438850,导演: 加布里尔·穆奇诺 Gabriele Muccino,主演: 威尔·史密斯 Will Smith ...,2006,美国,剧情 传记 家庭
23,触不可及 / Intouchables / 闪亮人生(港)  /  逆转人生(台),https://movie.douban.com/subject/6786002/,9.3,1027047,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano,主...,2011,法国,剧情 喜剧
24,怦然心动 / Flipped / 萌动青春  /  青春萌动,https://movie.douban.com/subject/3319755/,9.1,1729752,导演: 罗伯·莱纳 Rob Reiner,主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...,2010,美国,剧情 喜剧 爱情
25,龙猫 / となりのトトロ / 邻居托托罗  /  邻家的豆豆龙,https://movie.douban.com/subject/1291560/,9.2,1194811,导演: 宫崎骏 Hayao Miyazaki,主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...,1988,日本,动画 奇幻 冒险
